구분,명칭,경도,위도
파출소,방어진파출소,129.4310449,35.48322894
파출소,백령파출소,124.73474,37.956398
파출소,변산파출소,126.4701039,35.62423463
파출소,봉산파출소,127.7213359,34.72630346
파출소,북항파출소,126.3655681,34.80432457
파출소,비응파출소,126.530791,35.938708
파출소,사천파출소,128.0727636,34.92669453
파출소,삼척파출소,129.192738,37.43792221
파출소,새만금파출소,126.4756018,35.82225376
파출소,서귀포파출소,126.5620133,33.23981988
파출소,서산파출소,126.3811405,34.7810276
파출소,성산파출소,126.9300867,33.47178795
파출소,속초파출소,128.59409,38.198593
파출소,송정파출소,129.2060871,35.17992478
파출소,신진파출소,126.1366353,36.67546803
파출소,신항광역파출소,128.7908259,35.09220186
파출소,신항만파출소,126.6879354,37.34527354
파출소,안면파출소,126.3155693,36.58562003
파출소,안산파출소,126.5767541,37.2928516
파출소,연평파출소,125.7005622,37.65897082
파출소,영광파출소,126.4073142,35.39131284
파출소,영도파출소,129.0817159,35.06990062
파출소,영일만파출소,129.4314306,36.11082715
파출소,영흥파출소,126.4982874,37.25491503
파출소,오천파출소,126.5181423,36.43858868
파출소,온산파출소,129.35386,35.44256
파출소,완도파출소,126.7618374,34.31616722
파출소,울릉파출소,130.9097416,37.49478632
파출소,울산항파출소,129.3866948,35.50464507
파출소,위도파출소,126.3029989,35.61715884
파출소,인항파출소,126.603253,37.457003
파출소,임원파출소,129.3434326,37.22989777
파출소,장승포파출소,128.7284668,34.86744099
파출소,장항파출소,126.69525,36.007575
파출소,정서진파출소,126.6082664,37.55891696
파출소,제주파출소,126.528153,33.51722505
파출소,주문진파출소,128.8318881,37.89483674
파출소,죽변파출소,129.4241722,37.05456534
파출소,지도파출소,126.2036706,35.04309085
파출소,진도파출소,126.1360222,34.36683464
파출소,진하파출소,129.344162,35.389325
파출소,진해파출소,128.6693126,35.14396615
파출소,추자파출소,126.3243981,33.94124084
파출소,축산파출소,129.4479515,36.50995566
파출소,통영파출소,128.4185314,34.83997989
파출소,평택파출소,126.8448193,36.96200299
파출소,포항파출소,129.370986,36.04392562
파출소,하늘바다파출소,126.425424,37.422077
