번호,처리현황,신고번호,지역,접수일자,신고종류,활동종류,활동시작일,활동마지막일,기간
196,신고수리완료,2020-통영-100,통영,2020-08-04,건별 신고,수상,2020-08-04,2020-08-04,0
197,신고수리완료,2020-통영-101,통영,2020-08-04,건별 신고,수상,2020-08-04,2020-08-04,0
198,신고수리완료,2020-통영-97,통영,2020-08-04,건별 신고,수상,2020-08-02,2020-08-02,0
199,신고수리완료,2020-통영-98,통영,2020-08-04,건별 신고,수상,2020-08-04,2020-08-04,0
200,신고수리완료,2020-통영-99,통영,2020-08-04,건별 신고,수상,2020-08-04,2020-08-04,0
201,신고수리완료,2020-여수-52,여수,2020-08-03,건별 신고,수중,2020-08-04,2020-08-04,0
202,신고수리완료,2020-통영-92,통영,2020-08-03,건별 신고,수상,2020-08-03,2020-08-03,0
203,신고수리완료,2020-통영-93,통영,2020-08-03,건별 신고,수상,2020-08-03,2020-08-03,0
204,신고수리완료,2020-통영-94,통영,2020-08-03,건별 신고,수상,2020-08-03,2020-08-03,0
205,신고수리완료,2020-통영-95,통영,2020-08-03,건별 신고,수상,2020-08-03,2020-08-03,0
206,신고수리완료,2020-통영-96,통영,2020-08-03,건별 신고,수상,2020-08-03,2020-08-03,0
207,신고수리완료,2020-여수-51,여수,2020-08-02,건별 신고,수중,2020-08-03,2020-08-04,1
208,신고수리완료,2020-통영-79,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
209,신고수리완료,2020-통영-80,통영,2020-08-02,건별 신고,수상,2020-08-01,2020-08-01,0
210,신고수리완료,2020-통영-81,통영,2020-08-02,건별 신고,수상,2020-08-01,2020-08-01,0
211,신고수리완료,2020-통영-82,통영,2020-08-02,건별 신고,수상,2020-08-01,2020-08-01,0
212,신고수리완료,2020-통영-83,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
213,신고수리완료,2020-통영-84,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
214,신고수리완료,2020-통영-85,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
215,신고수리완료,2020-통영-86,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
216,신고수리완료,2020-통영-87,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
