발생일자,연도,시간,시간대,요일,지방청,해경서, 파출소,시·도,시·군·구,읍·면·동,상세주소,대분류,중분류,위치,대분류,세분류,위도,경도
2012-10-21,2012,14:30,,,제주 지방청,서귀포,성산 파출소,제주특별자치도,서귀포시,성산읍,성산읍 신풍리 해안가 해녀출입로(신퐁포구 남서쪽 약300m),해안가,,,침수,추락,33.361675,126.8690222
2012-10-24,2012,04:22,,,제주 지방청,제주,한림 파출소,제주특별자치도,제주시,한림읍,제주시 한림읍 한수리포구 물양장(성동기계 앞 물양장),항포구,물량장,,침수,추락,33.41372222,126.2572778
2012-11-03,2012,,,,서해 지방청,여수,녹동 파출소,전라남도,고흥군,풍양면,고흥군 풍양면 풍남리 소재 부광수산 앞,해안가,부광수산 주차장,,침수,추락,34.519275,127.2443889
2012-11-10,2012,,,,중부 지방청,평택,당진 파출소,충청남도,당진시,석문면,당진시 석문면 장고항리,항포구,용무치항,선착장,비침수,추락,37.03533056,126.5511722
2012-11-20,2012,10:43,오전,화요일,서해 지방청,부안,변산 파출소,전라북도,부안군,위도면,전북 부안군 위도면 식도리 선착장앞 ,항포구,식도항,선착장,침수,추락,35.62518611,126.2880278
2012-11-20,2012,20:38,,,서해 지방청,여수,녹동 파출소,전라남도,고흥군,도양읍,전남 고흥군 도양읍 소목리 남생리 마을 선착장,해안가,동생리 선창길,해안도로,침수,추락,34.50468333,127.1189667
2012-11-27,2012,12:48,오후,,남해 지방청,통영,장승포 파출소,경상남도,거제시,덕포동,거제시 덕포동 덕포 물양장 앞 20M,항포구,물량장,,침수,추락,34.91227778,128.7147222
2012-12-08,2012,13:50,오후,,남해 지방청,통영,마산 파출소,경상남도,창원시,마산합포구,창원시 마산합포구 진전면 시락리 소포마을 경진횟집 앞 물양장,해안가,물량장,,침수,추락,35.07294722,128.4624167
2012-12-21,2012,15:03,,,동해 지방청,포항,포항 파출소,경상북도,포항시,남구,포항시 죽도시장내 신포항수산 앞 해상(동빈내항 내) ,항포구,포항항,항내,침수,추락,36.03486944,129.3704167
2013-01-02,2013,10:50,,,서해 지방청,완도,완도 파출소,전라남도,완도군,완도읍,완도군 완도읍 정도리 화흥포항,항포구,화흥포항,,침수,추락,34.30475278,126.6790194
2013-01-04,2013,12:50,,,중부 지방청,인천,하늘바다 파출소,인천광역시,웅진군,북도면,인천 옹진군 북도면 장봉리 소재 장봉 선착장,항포구,장봉,선착장,침수,추락,37.53072222,126.3843611
2013-01-07,2013,23:26,,,남해 지방청,울산, 방어진 파출소,울산광역시,동구,방어동,방어진수협 위판장 앞 ,항포구,방어진항,수협위판장 앞,침수,추락,35.48436111,129.4299167
2013-01-12,2013,07:10,,,남해 지방청,창원,진해 파출소,경상남도,창원시,진해구,창원시 진해구 장천 2부두옆 장천교 밑 해안,해안가,장천교,장천2부두,침수,추락,35.12861111,128.6963889
2013-01-25,2013,07:50,,,남해 지방청,부산,다대 파출소,부산광역시,사하구,다대동,동우조선소(대성조선),항포구,다대포항,조선소,침수,추락,35.05238889,128.9759722
2013-01-29,2013,06:35,오전,화요일,서해 지방청,목포,북항 파출소,전라남도,목포시,북항동,전남 목포시 북항 여객선 선착장,항포구,북항,여객선 선착장,침수,추락,34.80530556,126.3645556
2013-02-05,2013,01:20,심야,,남해 지방청,울산, 온산 파출소,울산광역시,울주군,온산읍,울산 울주군 서생면 진하리 진하항 진하출장소 앞 ,항포구,진하항,해안도로,침수,추락,35.38942778,129.34425
2013-02-07,2013,08:40,,,서해 지방청,완도,땅끝 파출소,전라남도,해남군,송지면,전남 해남군 송지면 엄남포길 20-26 해안가,해안가,해안도로,,침수,추락,34.36291389,126.5169611
2013-02-15,2013,,,,중부 지방청,평택,대부 파출소,경기도,화성시,서신면,궁평항 긴선착장,항포구,선착장,,침수,추락,37.11583333,126.6755556
2013-02-28,2013,,,,서해 지방청,목포,지도 파출소,전라남도,신안군,지도읍,점암선착장,항포구,점암항,점암 선착장,침수,추락,35.0895,126.1573056
2013-03-01,2013,00:46,,,제주 지방청,제주,한림 파출소,제주특별자치도,제주시,한림읍,제주시 귀덕2리 방파제 앞 ,방파제,,,침수,추락,33.44316667,126.279
2013-03-02,2013,09:00,,,서해 지방청,완도,노화 파출소,전라남도,완도군,노화읍,완도군 노화읍 이목리 노화조선소 앞 ,항포구,노화조선소,,침수,추락,34.17748056,126.5653528
2013-03-04,2013,23:12,,,남해 지방청,부산,민락 파출소,부산광역시,해운대구,우동,동백섬 누리마루 선착장 앞 ,항포구,운촌항,누리마루 선착장,침수,추락,35.15466667,129.1506944
2013-03-11,2013,20:15,,,중부 지방청,인천,하늘바다 파출소,인천광역시,웅진군,북도면,인천 옹진군 북도면 신도2리 선착장,항포구,신도리,선착장,침수,추락,37.51408889,126.4394111
2013-03-13,2013,04:16,,,남해 지방청,부산,민락 파출소,부산광역시,수영구,광안해변로,부산 수영구 광안대교 하판 39번 교각 인근 ,해안가,광안대교,,침수,추락,35.15583333,129.1369444
2013-03-14,2013,14:10,,,중부 지방청,태안,신진 파출소,충청남도,태안군,근흥면,신진도 수협위판장 앞  ,항포구,,,침수,추락,36.67861111,126.1361111
2013-03-17,2013,00:46,,,동해 지방청,포항,포항 파출소,경상북도,포항시,북구,두호항 남방파제 약120미터 중간지점 외측,항포구,,,침수,추락,36.06340556,129.3876389
2013-03-17,2013,14:40,,,제주 지방청,제주,한림 파출소,제주특별자치도,제주시,한림읍,귀덕1리 방파제 앞 ,방파제,,,침수,추락,33.44638889,126.2913889
2013-03-26,2013,07:10,,,제주 지방청,제주,제주 파출소,제주특별자치도,제주시,동김녕,동김녕항 해녀식당 앞 ,방파제,,,침수,추락,33.55856944,126.7548444
